,first,second,AB,A~B,~AB,~A~B,chisquare,percentDependence
400,active_thrust_bearing,active_thrust_bearing,13,0,0,1112,1039.153188,100
420,active_thrust_bearing,bearing_metal_temp,12,1,120,992,74.76236493,9.022556391
637,active_thrust_bearing,model,7,6,187,925,9.888141236,3.5
749,active_thrust_bearing,temperature,11,2,364,748,13.31735093,2.917771883
755,active_thrust_bearing,thrust_bearing,6,7,13,1099,130.6897886,23.07692308
757,active_thrust_bearing,thrust_bearing_temp,9,4,11,1101,304.7273722,37.5
2395,air_temp,air_temp,8,0,0,1117,987.8255423,100
2739,air_temp,temperature,6,2,369,748,4.547966092,1.591511936
2794,ambient,ambient,22,0,0,1103,1073.448198,100
2808,ambient,bearing_metal_temp,8,14,124,979,10.83006288,5.479452055
2962,ambient,high,8,14,135,968,9.244095103,5.095541401
3137,ambient,temperature,19,3,356,747,26.01440802,5.026455026
3592,ambient_temperature,ambient_temperature,12,0,0,1113,1032.234686,100
3933,ambient_temperature,temperature,11,1,364,749,16.0145721,2.925531915
5587,axial,axial,9,0,0,1116,1002.520387,100
5986,axial_position,axial_position,16,0,0,1109,1054.803635,100
5989,axial_position,bearing,10,6,144,965,28.67308594,6.25
6784,back_pressure,back_pressure,8,0,0,1117,987.8255423,100
7180,bearing,axial_position,10,144,6,965,28.67308594,6.25
7183,bearing,bearing,154,0,0,971,1116.552125,100
7186,bearing,bearing_metal_temp,35,119,97,874,19.61122882,13.94422311
7190,bearing,bearing_vibration,12,142,29,942,7.426334621,6.557377049
7250,bearing,drain,9,145,13,958,11.82001339,5.389221557
7325,bearing,gen_bearing,9,145,0,971,50.07728209,5.844155844
7340,bearing,high,28,126,115,856,4.258498074,10.40892193
7360,bearing,increase,64,90,277,694,10.07732022,14.84918794
7399,bearing,metal_temp,25,129,28,943,49.8388213,13.73626374
7420,bearing,ob_bearing,7,147,8,963,11.30765445,4.320987654
7426,bearing,oil_drain_temp,6,148,3,968,17.26870355,3.821656051
7460,bearing,radial_bearing,6,148,4,967,14.57392403,3.797468354
7482,bearing,shift,6,148,3,968,17.26870355,3.821656051
7514,bearing,temp_increased,15,139,47,924,5.223468979,7.462686567
7515,bearing,temperature,75,79,300,671,18.16988528,16.51982379
7521,bearing,thrust_bearing,14,140,5,966,53.82586883,8.805031447
7523,bearing,thrust_bearing_temp,8,146,12,959,9.771126986,4.819277108
7543,bearing,vib,19,135,24,947,32.56208843,10.6741573
7546,bearing,vibration,42,112,81,890,46.99209963,17.87234043
7548,bearing,vibration_increased,15,139,11,960,39.88887531,9.090909091
7981,bearing_metal,bearing_metal,6,0,0,1119,944.3911428,100
8360,bearing_metal_temp,active_thrust_bearing,12,120,1,992,74.76236493,9.022556391
8366,bearing_metal_temp,ambient,8,124,14,979,10.83006288,5.479452055
8377,bearing_metal_temp,bearing,35,97,119,874,19.61122882,13.94422311
